
May 31 21:44:09 dispatcher_in [7971] INFO Dispatcher started
May 31 21:44:14 dispatcher_in [7971] INFO Successfully connected to FreeSWITCH
May 31 21:44:14 dispatcher_in [7971] INFO Successfully connected to spooler database
May 31 21:44:14 dispatcher_in [7971] INFO Successfully subscribed to events
May 31 21:44:15 dispatcher_in [7971] INFO New event: SERVER_DISCONNECTED
May 31 21:44:15 dispatcher_in [7971] INFO Event name: 
May 31 21:44:15 dispatcher_in [7971] ERROR Application match not found
May 31 21:44:20 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:44:25 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:44:30 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:44:35 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:44:40 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:44:45 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:44:50 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:44:55 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:45:00 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:45:05 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:45:10 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:45:15 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:45:20 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:45:25 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:45:30 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:45:35 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:45:40 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:45:45 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:45:50 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:45:55 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:46:00 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:46:05 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:46:10 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:46:15 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:46:20 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:46:25 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:46:30 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:46:35 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:46:40 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:46:45 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:46:50 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:46:55 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:47:00 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:47:05 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:47:10 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:47:15 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:47:20 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:47:25 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:47:30 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:47:35 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:47:40 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:47:45 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:47:50 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:47:55 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:48:00 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:48:05 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:48:10 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:48:15 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
May 31 21:48:20 dispatcher_in [7971] ERROR Failed to connect to FreeSWITCH
